country,life expectancy
Japan,84.2
Switzerland,83.6
Spain,83.4
Italy,83
Iceland,82.7
Korea,82.7
Norway,82.7
Australia,82.6
France,82.6
Israel,82.6
Sweden,82.5
Ireland,82.2
Luxembourg,82.2
Canada,82
New Zealand,81.9
Netherlands,81.8
Austria,81.7
Finland,81.7
Belgium,81.6
Portugal,81.5
Greece,81.4
United Kingdom,81.3
Denmark,81.2
Germany,81.1
Slovenia,81.1
OECD36,80.7
Chile,80.2
Costa Rica,80.2
Czech Republic,79.1
United States,78.6
Estonia,78.2
Turkey,78.1
Poland,77.9
Slovak Republic,77.3
China,76.5
Hungary,75.9
Brazil,75.7
Lithuania,75.6
Mexico,75.4
Latvia,74.8
Colombia,74.6
Russian Federation,72.6
Indonesia,69.4
India,68.9
South Africa,63.4